CVE_DOC,FECHA_ENT,FECHA_VEN,CAN_TOT
F36587,2021-11-04,2021-11-04,2558.5956
F36588,2021-11-04,2021-11-04,2700.0
F36589,2021-10-29,2022-01-03,4137.0
F36590,2021-11-04,2021-11-04,1636.0
F36591,2021-10-21,2021-11-04,1968.0
F36592,2021-11-04,2021-11-05,267.24
F36593,2021-11-02,2021-11-05,425.00000000000006
F36594,2021-11-05,2021-11-05,224.20000000000002
F36595,2021-11-05,2021-11-05,880.0000000000001
F36596,2021-10-28,2021-11-05,16250.000000000002
F36597,2021-10-28,2021-11-05,794.0000000000001
F36598,2021-11-05,2021-11-05,7260.000000000001
F36599,2021-11-05,2021-11-05,2209.1184000000003
F36600,2021-11-05,2021-11-05,275.88
F36601,2021-11-05,2021-11-05,2724.3
F36602,2021-11-05,2021-11-05,897.4000000000001
F36603,2021-11-05,2021-11-05,339.9
F36604,2021-11-05,2021-11-05,1584.0000000000002
F36605,2021-11-08,2021-11-08,177.1
F36606,2021-11-08,2021-11-08,858.62
F36607,2021-11-08,2021-11-08,285.0
F36608,2021-11-03,2021-11-08,1210.7100000000003
F36609,2021-11-08,2021-12-08,28305.000000000004
F36610,2021-11-08,2021-11-08,120.00000000000001
F36611,2021-11-08,2021-11-08,474.1
F36612,2021-11-04,2021-11-08,1034.48
F36613,2021-11-08,2021-11-08,124.00000000000001
F36614,2021-11-05,2021-11-23,6943.950000000001
F36615,2021-10-29,2022-01-08,9271.5
F36616,2021-10-29,2021-12-09,22129.5
F36617,2021-11-09,2021-12-09,17843.600000000002
F36618,2021-10-29,2021-12-09,7060.740000000001
F36619,2021-11-05,2021-11-09,32003.960000000003
F36620,2021-07-30,2021-11-09,575.0
F36621,2021-11-09,2021-11-24,1498.8
F36622,2021-11-09,2021-11-24,1049.16
F36623,2021-11-09,2021-11-09,90.0
F36624,2021-11-09,2021-11-09,1636.0
F36625,2021-11-11,2022-01-08,77959.2
F36626,2021-11-09,2021-11-09,150.6
F36627,2021-11-10,2021-11-10,5800.0
F36628,2021-11-08,2021-11-10,293.0
F36629,2021-11-09,2021-12-10,22200.0
F36630,2021-11-08,2021-12-10,4418.75
F36631,2021-11-09,2021-11-10,685.8000000000001
F36632,2021-10-28,2021-11-10,60.00000000000001
F36633,2021-11-10,2021-11-10,483.6700000000001
F36634,2021-10-26,2021-11-10,6111.3
F36635,2021-11-10,2021-11-10,4800.0
F36636,2021-11-10,2021-11-10,165.0
F36637,2021-11-10,2021-11-10,164.0
F36638,2021-11-11,2021-11-11,810.0
F36639,2021-11-11,2021-11-11,1999.8136
F36640,2021-11-11,2021-11-11,518.9760000000001
F36641,2021-11-03,2021-12-11,5386.0
F36642,2021-11-12,2021-11-26,5618.910000000001
F36643,2021-11-11,2021-11-11,738.0000000000001
F36644,2021-11-11,2021-11-11,720.0
F36645,2021-09-17,2021-12-11,14214.0
F36646,2021-11-09,2021-11-11,12960.000000000002
F36647,2021-11-11,2021-11-11,93.10000000000001
F36648,2021-11-11,2021-11-11,80.0
F36649,2021-11-11,2021-11-11,122.20000000000002
F36650,2021-11-11,2021-11-11,851.7993
F36651,2021-11-12,2021-11-27,2116.5
F36652,2021-11-08,2021-11-27,28577.04
F36653,2021-11-08,2021-11-27,18700.0
F36654,2021-11-12,2021-11-12,258.62
F36655,2021-11-12,2021-11-12,414.3
F36656,2021-10-29,2021-11-12,1615.0000000000002
F36657,2021-10-29,2021-11-12,1615.0000000000002
F36658,2021-10-29,2021-11-12,4845.0
F36659,2021-11-12,2021-11-12,1615.0000000000002
F36660,2021-11-12,2021-11-12,1615.0000000000002
F36661,2021-11-12,2021-11-12,1615.0000000000002
F36662,2021-11-12,2021-11-12,320.91
F36663,2021-11-12,2021-11-12,220.00000000000003
F36664,2021-11-12,2021-11-12,347.2875
